what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1318887974059
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318887983868
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318887983946
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318887991658
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1318888107381
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318888109090
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318888164919
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318888172905
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1318888172995
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318888174699
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318888187016
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318888187016
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1318888188093
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318888188093
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318888191792
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318888193022
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1318888195537
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318888199114
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318888200649
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318888200882
